dates,stock,open,close,high,low,volume,category
2009-03-31,PEP,52.2600,51.4800,52.5000,51.4800,9179900,Food
2009-03-30,PEP,52.0600,51.7900,52.6200,51.2800,7584800,Food
2009-03-27,PEP,52.6400,52.3900,53.1000,52.1200,5875700,Food
2009-03-26,PEP,52.9700,53.1600,53.2000,52.0000,7122900,Food
2009-03-25,PEP,52.2100,52.4700,52.7900,51.6700,8705500,Food
2009-03-24,PEP,51.1700,51.5300,51.9600,51.1200,5903300,Food
2009-03-23,PEP,50.3300,51.6300,51.6300,50.2300,7535800,Food
2009-03-20,PEP,49.2400,50.0200,50.4100,49.2400,13268800,Food
2009-03-19,PEP,49.8700,48.9900,49.8900,48.7000,10284100,Food
2009-03-18,PEP,48.2100,49.4700,49.9100,48.2100,9202800,Food
2009-03-17,PEP,48.7200,49.2500,49.2700,48.0200,6697400,Food
2009-03-16,PEP,48.9100,48.7300,49.7800,48.6600,7482300,Food
2009-03-13,PEP,48.5800,48.6200,48.8100,47.9301,7977300,Food
2009-03-12,PEP,47.2800,48.2900,48.4100,47.0700,8257800,Food
2009-03-11,PEP,46.6900,47.4200,47.6400,46.5600,8048400,Food
2009-03-10,PEP,46.1000,46.6000,46.6700,45.8500,9347300,Food
2009-03-09,PEP,46.6500,45.8100,47.1800,45.6300,7985900,Food
2009-03-06,PEP,46.2500,47.1000,47.2500,45.9800,10849400,Food
2009-03-05,PEP,47.0200,45.9700,47.1100,45.3900,11778600,Food
2009-03-04,PEP,48.7500,47.6000,48.9400,47.0000,10631500,Food
2009-03-03,PEP,47.7500,48.4700,49.0500,47.2800,14962400,Food
2009-03-02,PEP,47.3100,46.8500,47.9400,46.7600,8637300,Food
2009-02-27,PEP,49.1900,48.1400,49.6300,48.1400,9237600,Food
2009-02-26,PEP,51.1300,49.4200,51.3600,49.3300,7448800,Food
2009-02-25,PEP,51.5200,50.7200,51.8500,50.5200,7180000,Food
2009-02-24,PEP,50.8800,51.6800,51.8300,50.1100,8221100,Food
2009-02-23,PEP,51.4600,50.1600,51.8500,50.0300,6899600,Food
2009-02-20,PEP,51.5300,51.4500,52.0500,50.9720,9897500,Food
2009-02-19,PEP,51.2700,52.2000,52.5500,51.0000,6862800,Food
2009-02-18,PEP,52.2700,51.5300,52.2700,51.1300,6145400,Food
2009-02-17,PEP,51.4500,51.8200,52.1100,50.5000,12454400,Food
2009-02-13,PEP,52.1900,52.5700,53.4600,51.0800,11981300,Food
